threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.829,0.5539032415106965,13021.0,3906.0,26777.0,42362.0,0.4624,0.7692,0.2351,0.1273
0.83,0.5535276319838245,12909.0,3867.0,26816.0,42474.0,0.4616,0.7695,0.2331,0.126
0.831,0.5533393989599897,12834.0,3837.0,26846.0,42549.0,0.461,0.7698,0.2317,0.1251
0.832,0.5529400001637953,12732.0,3805.0,26878.0,42651.0,0.4602,0.7699,0.2299,0.124
0.833,0.5523981390968461,12607.0,3769.0,26914.0,42776.0,0.4592,0.7698,0.2276,0.1228
0.834,0.5519689918710021,12536.0,3756.0,26927.0,42847.0,0.4585,0.7695,0.2264,0.1224
0.835,0.551529960083265,12426.0,3722.0,26961.0,42957.0,0.4576,0.7695,0.2244,0.1213
0.836,0.5510460140632452,12302.0,3683.0,27000.0,43081.0,0.4566,0.7696,0.2221,0.12
0.837,0.5508665831073105,12237.0,3658.0,27025.0,43146.0,0.4562,0.7699,0.221,0.1192
0.838,0.550677672163889,12189.0,3643.0,27040.0,43194.0,0.4558,0.7699,0.2201,0.1187
0.839,0.5506070296474932,12118.0,3608.0,27075.0,43265.0,0.4554,0.7706,0.2188,0.1176
0.84,0.5503553743627934,12045.0,3583.0,27100.0,43338.0,0.4548,0.7707,0.2175,0.1168
0.841,0.5501312551477716,11957.0,3548.0,27135.0,43426.0,0.4542,0.7712,0.2159,0.1156
0.842,0.5500599347117889,11913.0,3528.0,27155.0,43470.0,0.4539,0.7715,0.2151,0.115
0.843,0.5498745445955274,11869.0,3515.0,27168.0,43514.0,0.4536,0.7715,0.2143,0.1146
0.844,0.5496259581915962,11818.0,3502.0,27181.0,43565.0,0.4531,0.7714,0.2134,0.1141
0.845,0.5496125528025432,11775.0,3479.0,27204.0,43608.0,0.4529,0.7719,0.2126,0.1134
0.846,0.5492221820474443,11674.0,3447.0,27236.0,43709.0,0.4521,0.772,0.2108,0.1123
0.847,0.5487375581078376,11577.0,3423.0,27260.0,43806.0,0.4512,0.7718,0.209,0.1116
0.848,0.5486248442667324,11523.0,3400.0,27283.0,43860.0,0.4509,0.7722,0.2081,0.1108
0.849,0.5484537634323066,11486.0,3390.0,27293.0,43897.0,0.4506,0.7721,0.2074,0.1105
0.85,0.5481428846334884,11392.0,3357.0,27326.0,43991.0,0.4499,0.7724,0.2057,0.1094
0.851,0.548042089113037,11296.0,3310.0,27373.0,44087.0,0.4493,0.7734,0.204,0.1079
0.852,0.5481403150710958,11278.0,3294.0,27389.0,44105.0,0.4493,0.774,0.2036,0.1074
0.853,0.5480311220571507,11228.0,3273.0,27410.0,44155.0,0.4489,0.7743,0.2027,0.1067
0.854,0.5475896519362468,11143.0,3253.0,27430.0,44240.0,0.4482,0.774,0.2012,0.106
0.855,0.547565458092518,11097.0,3229.0,27454.0,44286.0,0.4479,0.7746,0.2004,0.1052
0.856,0.5472759302298554,11018.0,3203.0,27480.0,44365.0,0.4473,0.7748,0.1989,0.1044
0.857,0.5473147067006006,10988.0,3184.0,27499.0,44395.0,0.4472,0.7753,0.1984,0.1038
0.858,0.547102910380639,10914.0,3156.0,27527.0,44469.0,0.4466,0.7757,0.1971,0.1029
0.859,0.5468098616908165,10831.0,3128.0,27555.0,44552.0,0.446,0.7759,0.1956,0.1019
0.86,0.5465956270376879,10782.0,3114.0,27569.0,44601.0,0.4456,0.7759,0.1947,0.1015
0.861,0.5462862826792542,10699.0,3087.0,27596.0,44684.0,0.4449,0.7761,0.1932,0.1006
0.862,0.5458300513301233,10625.0,3074.0,27609.0,44758.0,0.4442,0.7756,0.1918,0.1002
0.863,0.5455867461669321,10580.0,3064.0,27619.0,44803.0,0.4438,0.7754,0.191,0.0999
0.864,0.5454790875933714,10541.0,3049.0,27634.0,44842.0,0.4436,0.7756,0.1903,0.0994
0.865,0.5454835123133139,10509.0,3031.0,27652.0,44874.0,0.4434,0.7761,0.1898,0.0988
0.866,0.5453364467214061,10453.0,3009.0,27674.0,44930.0,0.443,0.7765,0.1887,0.0981
0.867,0.5450878603174749,10402.0,2996.0,27687.0,44981.0,0.4426,0.7764,0.1878,0.0976
0.868,0.544888612865769,10333.0,2970.0,27713.0,45050.0,0.4421,0.7767,0.1866,0.0968
0.869,0.5446931122144186,10259.0,2941.0,27742.0,45124.0,0.4415,0.7772,0.1852,0.0959
0.87,0.5443687806545623,10196.0,2926.0,27757.0,45187.0,0.441,0.777,0.1841,0.0954
0.871,0.5441305781309006,10092.0,2883.0,27800.0,45291.0,0.4403,0.7778,0.1822,0.094
0.872,0.5440482432670467,10054.0,2867.0,27816.0,45329.0,0.44,0.7781,0.1815,0.0934
0.873,0.5438016432498912,9996.0,2850.0,27833.0,45387.0,0.4395,0.7781,0.1805,0.0929
