threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.577,0.6348688775732302,38561.0,13087.0,17596.0,16822.0,0.6525,0.7466,0.6963,0.4265
0.578,0.6354214906095994,38402.0,12965.0,17718.0,16981.0,0.6521,0.7476,0.6934,0.4225
0.579,0.6354728633205851,38303.0,12907.0,17776.0,17080.0,0.6516,0.748,0.6916,0.4207
0.58,0.6362716717997037,38146.0,12771.0,17912.0,17237.0,0.6513,0.7492,0.6888,0.4162
0.581,0.6366309018007239,38045.0,12693.0,17990.0,17338.0,0.6511,0.7498,0.6869,0.4137
0.582,0.636861300893238,37955.0,12629.0,18054.0,17428.0,0.6508,0.7503,0.6853,0.4116
0.583,0.637075404317141,37865.0,12566.0,18117.0,17518.0,0.6505,0.7508,0.6837,0.4095
0.584,0.637544731224889,37778.0,12489.0,18194.0,17605.0,0.6503,0.7515,0.6821,0.407
0.585,0.638025072560508,37685.0,12408.0,18275.0,17698.0,0.6502,0.7523,0.6804,0.4044
0.586,0.6382834596690916,37562.0,12324.0,18359.0,17821.0,0.6497,0.753,0.6782,0.4017
0.587,0.6386556904847588,37448.0,12238.0,18445.0,17935.0,0.6494,0.7537,0.6762,0.3989
0.588,0.638926626461598,37330.0,12156.0,18527.0,18053.0,0.649,0.7544,0.674,0.3962
0.589,0.6391733212227236,37240.0,12091.0,18592.0,18143.0,0.6487,0.7549,0.6724,0.3941
0.59,0.6397316200742393,37143.0,12003.0,18680.0,18240.0,0.6486,0.7558,0.6707,0.3912
0.591,0.6401718764719244,37060.0,11930.0,18753.0,18323.0,0.6485,0.7565,0.6692,0.3888
0.592,0.640435544821248,36943.0,11849.0,18834.0,18440.0,0.6481,0.7572,0.667,0.3862
0.593,0.6409513677736479,36807.0,11742.0,18941.0,18576.0,0.6477,0.7581,0.6646,0.3827
0.594,0.6414504431110453,36689.0,11646.0,19037.0,18694.0,0.6475,0.7591,0.6625,0.3796
0.595,0.6419829663064626,36609.0,11569.0,19114.0,18774.0,0.6474,0.7599,0.661,0.377
0.596,0.6423223798117114,36504.0,11490.0,19193.0,18879.0,0.6471,0.7606,0.6591,0.3745
0.597,0.6425582861181613,36411.0,11424.0,19259.0,18972.0,0.6468,0.7612,0.6574,0.3723
0.598,0.6430725272581918,36338.0,11352.0,19331.0,19045.0,0.6468,0.762,0.6561,0.37
0.599,0.6432269552215852,36245.0,11291.0,19392.0,19138.0,0.6464,0.7625,0.6544,0.368
0.6,0.6434593407008751,36148.0,11223.0,19460.0,19235.0,0.6461,0.7631,0.6527,0.3658
0.601,0.6435814033002418,36046.0,11159.0,19524.0,19337.0,0.6457,0.7636,0.6508,0.3637
0.602,0.6438265636209828,35945.0,11088.0,19595.0,19438.0,0.6453,0.7643,0.649,0.3614
0.603,0.6437392208615695,35818.0,11023.0,19660.0,19565.0,0.6446,0.7647,0.6467,0.3593
0.604,0.6438300005909022,35736.0,10972.0,19711.0,19647.0,0.6442,0.7651,0.6453,0.3576
0.605,0.6444329877015047,35662.0,10894.0,19789.0,19721.0,0.6443,0.766,0.6439,0.3551
0.606,0.6448446255355188,35565.0,10815.0,19868.0,19818.0,0.6441,0.7668,0.6422,0.3525
0.607,0.645051461331906,35476.0,10753.0,19930.0,19907.0,0.6438,0.7674,0.6406,0.3505
