threshold,auc,tp,fp,tn,fn,accuracy,precision,recall,fpr
0.341,0.505234525195352,55239.0,30282.0,401.0,144.0,0.6465,0.6459,0.9974,0.9869
0.342,0.5053811862128536,55239.0,30273.0,410.0,144.0,0.6466,0.646,0.9974,0.9866
0.343,0.5054192847640117,55236.0,30269.0,414.0,147.0,0.6466,0.646,0.9973,0.9865
0.344,0.5055243264031951,55235.0,30262.0,421.0,148.0,0.6467,0.646,0.9973,0.9863
0.345,0.5055787206229645,55232.0,30257.0,426.0,151.0,0.6467,0.6461,0.9973,0.9861
0.346,0.5057544521505286,55228.0,30244.0,439.0,155.0,0.6468,0.6462,0.9972,0.9857
0.347,0.5058740290447433,55225.0,30235.0,448.0,158.0,0.6469,0.6462,0.9971,0.9854
0.348,0.5060279576897604,55224.0,30225.0,458.0,159.0,0.647,0.6463,0.9971,0.9851
0.349,0.5062362805545471,55220.0,30210.0,473.0,163.0,0.6471,0.6464,0.9971,0.9846
0.35,0.5063957164135,55216.0,30198.0,485.0,167.0,0.6472,0.6465,0.997,0.9842
0.351,0.506453857433625,55208.0,30190.0,493.0,175.0,0.6472,0.6465,0.9968,0.9839
0.352,0.506500984025879,55206.0,30186.0,497.0,177.0,0.6472,0.6465,0.9968,0.9838
0.353,0.5065897299964509,55205.0,30180.0,503.0,178.0,0.6473,0.6465,0.9968,0.9836
0.354,0.506740137814308,55200.0,30168.0,515.0,183.0,0.6474,0.6466,0.9967,0.9832
0.355,0.5068506866674272,55196.0,30159.0,524.0,187.0,0.6474,0.6467,0.9966,0.9829
0.356,0.5068905456321653,55195.0,30156.0,527.0,188.0,0.6474,0.6467,0.9966,0.9828
0.357,0.5069522074794505,55191.0,30150.0,533.0,192.0,0.6475,0.6467,0.9965,0.9826
0.358,0.5070228973678312,55188.0,30144.0,539.0,195.0,0.6475,0.6467,0.9965,0.9824
0.359,0.5070121089131556,55185.0,30143.0,540.0,198.0,0.6475,0.6467,0.9964,0.9824
0.36,0.5071570095170771,55183.0,30133.0,550.0,200.0,0.6476,0.6468,0.9964,0.9821
0.361,0.5072367274465536,55181.0,30127.0,556.0,202.0,0.6476,0.6468,0.9964,0.9819
0.362,0.5073237130035456,55178.0,30120.0,563.0,205.0,0.6477,0.6469,0.9963,0.9817
0.363,0.5073455158860924,55175.0,30117.0,566.0,208.0,0.6477,0.6469,0.9962,0.9816
0.364,0.5074578251527915,55173.0,30109.0,574.0,210.0,0.6477,0.6469,0.9962,0.9813
0.365,0.5075774020470061,55170.0,30100.0,583.0,213.0,0.6478,0.647,0.9962,0.981
0.366,0.5077531335745702,55166.0,30087.0,596.0,217.0,0.6479,0.6471,0.9961,0.9806
0.367,0.50793261190249,55157.0,30071.0,612.0,226.0,0.648,0.6472,0.9959,0.9801
0.368,0.507968950040068,55152.0,30066.0,617.0,231.0,0.648,0.6472,0.9958,0.9799
0.369,0.508079498893187,55148.0,30057.0,626.0,235.0,0.648,0.6472,0.9958,0.9796
0.37,0.5081338931129566,55145.0,30052.0,631.0,238.0,0.6481,0.6473,0.9957,0.9794
0.371,0.5083585116463546,55141.0,30036.0,647.0,242.0,0.6482,0.6474,0.9956,0.9789
0.372,0.5085921582208482,55138.0,30020.0,663.0,245.0,0.6484,0.6475,0.9956,0.9784
0.373,0.5087044674875472,55136.0,30012.0,671.0,247.0,0.6484,0.6475,0.9955,0.9781
0.374,0.5088892270562069,55133.0,29999.0,684.0,250.0,0.6485,0.6476,0.9955,0.9777
0.375,0.5089328328213008,55127.0,29993.0,690.0,256.0,0.6485,0.6476,0.9954,0.9775
0.376,0.5090416212608397,55121.0,29983.0,700.0,262.0,0.6486,0.6477,0.9953,0.9772
0.377,0.5091213391903161,55119.0,29977.0,706.0,264.0,0.6486,0.6477,0.9952,0.977
0.378,0.5092356348437908,55110.0,29965.0,718.0,273.0,0.6487,0.6478,0.9951,0.9766
0.379,0.5093915498755835,55102.0,29951.0,732.0,281.0,0.6487,0.6479,0.9949,0.9761
0.38,0.5094098319309704,55095.0,29946.0,737.0,288.0,0.6487,0.6479,0.9948,0.976
0.381,0.5095712541766989,55084.0,29930.0,753.0,299.0,0.6488,0.6479,0.9946,0.9755
0.382,0.5096963382848492,55078.0,29919.0,764.0,305.0,0.6488,0.648,0.9945,0.9751
0.383,0.5097436908502987,55067.0,29910.0,773.0,316.0,0.6488,0.648,0.9943,0.9748
0.384,0.5099720561840523,55058.0,29891.0,792.0,325.0,0.6489,0.6481,0.9941,0.9742
0.385,0.5101695905941632,55051.0,29875.0,808.0,332.0,0.649,0.6482,0.994,0.9737
0.386,0.5102169431596127,55040.0,29866.0,817.0,343.0,0.649,0.6482,0.9938,0.9734
0.387,0.5102334648014196,55031.0,29860.0,823.0,352.0,0.649,0.6483,0.9936,0.9732
0.388,0.5105142379681672,55026.0,29840.0,843.0,357.0,0.6491,0.6484,0.9936,0.9725
0.389,0.5107280680468894,55019.0,29823.0,860.0,364.0,0.6493,0.6485,0.9934,0.972
0.39,0.5107917162809502,55008.0,29813.0,870.0,375.0,0.6492,0.6485,0.9932,0.9716
0.391,0.5109168003891004,55002.0,29802.0,881.0,381.0,0.6493,0.6486,0.9931,0.9713
0.392,0.5110997995441802,54997.0,29788.0,895.0,386.0,0.6494,0.6487,0.993,0.9708
0.393,0.5111526593235652,54983.0,29777.0,906.0,400.0,0.6494,0.6487,0.9928,0.9705
0.394,0.5113847714576746,54969.0,29755.0,928.0,414.0,0.6495,0.6488,0.9925,0.9698
0.395,0.5116329532871994,54964.0,29737.0,946.0,419.0,0.6496,0.6489,0.9924,0.9692
0.396,0.5117617841957053,54953.0,29723.0,960.0,430.0,0.6497,0.649,0.9922,0.9687
0.397,0.5119342208693051,54936.0,29703.0,980.0,447.0,0.6497,0.6491,0.9919,0.9681
0.398,0.5121282344522561,54925.0,29685.0,998.0,458.0,0.6498,0.6492,0.9917,0.9675
0.399,0.5123548393724295,54914.0,29665.0,1018.0,469.0,0.6499,0.6493,0.9915,0.9668
0.4,0.5125288104864137,54908.0,29651.0,1032.0,475.0,0.65,0.6493,0.9914,0.9664
0.401,0.5127010211868178,54900.0,29636.0,1047.0,483.0,0.65,0.6494,0.9913,0.9659
0.402,0.512869711060062,54888.0,29619.0,1064.0,495.0,0.6501,0.6495,0.9911,0.9653
0.403,0.5129877535138921,54874.0,29604.0,1079.0,509.0,0.6501,0.6496,0.9908,0.9648
0.404,0.5132035699793901,54860.0,29583.0,1100.0,523.0,0.6502,0.6497,0.9906,0.9641
0.405,0.5133379081018317,54846.0,29567.0,1116.0,537.0,0.6502,0.6497,0.9903,0.9636
0.406,0.5135885282645234,54816.0,29535.0,1148.0,567.0,0.6502,0.6499,0.9898,0.9626
0.407,0.5137787950471188,54810.0,29520.0,1163.0,573.0,0.6503,0.6499,0.9897,0.9621
0.408,0.5140216956359036,54799.0,29499.0,1184.0,584.0,0.6505,0.6501,0.9895,0.9614
0.409,0.514206681177759,54787.0,29481.0,1202.0,596.0,0.6505,0.6502,0.9892,0.9608
0.41,0.5145438349510516,54772.0,29452.0,1231.0,611.0,0.6507,0.6503,0.989,0.9599
0.411,0.514817566463479,54759.0,29428.0,1255.0,624.0,0.6508,0.6504,0.9887,0.9591
0.412,0.5151419453953203,54748.0,29402.0,1281.0,635.0,0.651,0.6506,0.9885,0.9583
0.413,0.5156184925585987,54734.0,29365.0,1318.0,649.0,0.6513,0.6508,0.9883,0.957
0.414,0.5158598587069994,54712.0,29338.0,1345.0,671.0,0.6513,0.6509,0.9879,0.9562
0.415,0.516173449184165,54698.0,29311.0,1372.0,685.0,0.6515,0.6511,0.9876,0.9553
0.416,0.5166557295345747,54672.0,29267.0,1416.0,711.0,0.6517,0.6513,0.9872,0.9539
0.417,0.5169856156803515,54658.0,29239.0,1444.0,725.0,0.6518,0.6515,0.9869,0.9529
0.418,0.5172001236786609,54624.0,29207.0,1476.0,759.0,0.6518,0.6516,0.9863,0.9519
0.419,0.517544545079469,54608.0,29177.0,1506.0,775.0,0.652,0.6518,0.986,0.9509
0.42,0.5178220233922521,54590.0,29150.0,1533.0,793.0,0.6521,0.6519,0.9857,0.95
0.421,0.5185784872014805,54533.0,29072.0,1611.0,850.0,0.6523,0.6523,0.9847,0.9475
0.422,0.518945163431227,54496.0,29029.0,1654.0,887.0,0.6524,0.6525,0.984,0.9461
0.423,0.5193642474939671,54463.0,28985.0,1698.0,920.0,0.6525,0.6527,0.9834,0.9447
0.424,0.5198139365071542,54437.0,28943.0,1740.0,946.0,0.6527,0.6529,0.9829,0.9433
0.425,0.5208029643968832,54348.0,28833.0,1850.0,1035.0,0.653,0.6534,0.9813,0.9397
0.426,0.5212022319638521,54311.0,28788.0,1895.0,1072.0,0.6531,0.6536,0.9806,0.9382
0.427,0.5217538937354539,54262.0,28727.0,1956.0,1121.0,0.6532,0.6538,0.9798,0.9363
0.428,0.5223015827335044,54227.0,28674.0,2009.0,1156.0,0.6534,0.6541,0.9791,0.9345
0.429,0.5228437645176193,54195.0,28623.0,2060.0,1188.0,0.6536,0.6544,0.9785,0.9329
0.43,0.5232577933128151,54147.0,28571.0,2112.0,1236.0,0.6537,0.6546,0.9777,0.9312
0.431,0.5235304423312495,54105.0,28531.0,2152.0,1278.0,0.6536,0.6547,0.9769,0.9299
0.432,0.5243049622226692,54050.0,28453.0,2230.0,1333.0,0.6539,0.6551,0.9759,0.9273
0.433,0.5250158338800281,54006.0,28385.0,2298.0,1377.0,0.6542,0.6555,0.9751,0.9251
0.434,0.5254699476131578,53948.0,28325.0,2358.0,1435.0,0.6542,0.6557,0.9741,0.9231
0.435,0.5259451863092476,53914.0,28277.0,2406.0,1469.0,0.6544,0.656,0.9735,0.9216
0.436,0.5264422278878842,53877.0,28226.0,2457.0,1506.0,0.6545,0.6562,0.9728,0.9199
0.437,0.52716610035989,53820.0,28150.0,2533.0,1563.0,0.6548,0.6566,0.9718,0.9174
0.438,0.527864649122189,53762.0,28075.0,2608.0,1621.0,0.655,0.6569,0.9707,0.915
